planner,strategy,fail_prob,seed,grid_size,success,steps,replans,planning_time_total,planning_time_avg,wallclock_time
PDDL,lazy,0.0,10,5,True,7,1,0.006447792053222656,0.006447792053222656,0.0066
PDDL,lazy,0.0,11,5,True,16,1,0.005347013473510742,0.005347013473510742,0.0055
PDDL,lazy,0.0,12,5,True,16,1,0.00551605224609375,0.00551605224609375,0.0057
PDDL,lazy,0.0,13,5,True,15,1,0.005613088607788086,0.005613088607788086,0.0058
PDDL,lazy,0.0,14,5,True,16,1,0.005665779113769531,0.005665779113769531,0.0059
PDDL,lazy,0.0,15,5,True,15,1,0.02657604217529297,0.02657604217529297,0.0268
PDDL,lazy,0.0,16,5,True,15,1,0.0053861141204833984,0.0053861141204833984,0.0056
PDDL,lazy,0.0,17,5,True,11,1,0.005464076995849609,0.005464076995849609,0.0057
PDDL,lazy,0.0,18,5,True,13,1,0.005513906478881836,0.005513906478881836,0.0057
PDDL,lazy,0.0,19,5,True,8,1,0.005300045013427734,0.005300045013427734,0.0054
PDDL,lazy,0.0,20,5,True,15,1,0.005554914474487305,0.005554914474487305,0.0057
PDDL,lazy,0.0,21,5,True,13,1,0.005266904830932617,0.005266904830932617,0.0054
PDDL,lazy,0.0,22,5,True,13,1,0.00507807731628418,0.00507807731628418,0.0052
PDDL,lazy,0.0,23,5,True,15,1,0.005377054214477539,0.005377054214477539,0.0056
PDDL,lazy,0.0,24,5,True,12,1,0.005671262741088867,0.005671262741088867,0.0058
PDDL,lazy,0.0,25,5,True,18,1,0.00591731071472168,0.00591731071472168,0.0062
PDDL,lazy,0.0,26,5,True,14,1,0.005479097366333008,0.005479097366333008,0.0057
PDDL,lazy,0.0,27,5,True,12,1,0.005680084228515625,0.005680084228515625,0.0059
PDDL,lazy,0.0,28,5,True,17,1,0.005463123321533203,0.005463123321533203,0.0057
PDDL,lazy,0.0,29,5,True,17,1,0.005632877349853516,0.005632877349853516,0.0058
PDDL,lazy,0.05,0,5,True,15,1,0.005433797836303711,0.005433797836303711,0.0056
PDDL,lazy,0.05,1,5,True,13,2,0.010167121887207031,0.005083560943603516,0.0103
PDDL,lazy,0.05,2,5,True,10,1,0.005433082580566406,0.005433082580566406,0.0056
PDDL,lazy,0.05,3,5,True,13,2,0.010053396224975586,0.005026698112487793,0.0102
PDDL,lazy,0.05,4,5,True,13,1,0.00527191162109375,0.00527191162109375,0.0054
PDDL,lazy,0.05,5,5,True,11,2,0.010056018829345703,0.0050280094146728516,0.0102
PDDL,lazy,0.05,6,5,True,11,2,0.010074853897094727,0.005037426948547363,0.0103
PDDL,lazy,0.05,7,5,True,12,2,0.008945226669311523,0.004472613334655762,0.0091
PDDL,lazy,0.05,8,5,True,15,1,0.004464149475097656,0.004464149475097656,0.0046
PDDL,lazy,0.05,9,5,True,17,3,0.013951778411865234,0.004650592803955078,0.0142
PDDL,lazy,0.05,10,5,True,7,1,0.004640102386474609,0.004640102386474609,0.0047
PDDL,lazy,0.05,11,5,True,16,1,0.004695892333984375,0.004695892333984375,0.0049
PDDL,lazy,0.05,12,5,True,17,2,0.009243011474609375,0.0046215057373046875,0.0094
PDDL,lazy,0.05,13,5,True,15,1,0.004557132720947266,0.004557132720947266,0.0047
PDDL,lazy,0.05,14,5,True,16,1,0.004391908645629883,0.004391908645629883,0.0046
PDDL,lazy,0.05,15,5,True,17,3,0.014045476913452148,0.004681825637817383,0.0143
PDDL,lazy,0.05,16,5,True,16,2,0.009428977966308594,0.004714488983154297,0.0096
PDDL,lazy,0.05,17,5,True,12,2,0.008948802947998047,0.0044744014739990234,0.0091
PDDL,lazy,0.05,18,5,True,13,1,0.004801034927368164,0.004801034927368164,0.0049
PDDL,lazy,0.05,19,5,True,8,1,0.004366159439086914,0.004366159439086914,0.0045
PDDL,lazy,0.05,20,5,True,15,1,0.004670858383178711,0.004670858383178711,0.0048
PDDL,lazy,0.05,21,5,True,14,2,0.01579594612121582,0.00789797306060791,0.016
PDDL,lazy,0.05,22,5,True,14,2,0.010283708572387695,0.005141854286193848,0.0104
PDDL,lazy,0.05,23,5,True,16,2,0.009254932403564453,0.0046274662017822266,0.0094
PDDL,lazy,0.05,24,5,True,12,1,0.004748106002807617,0.004748106002807617,0.0049
PDDL,lazy,0.05,25,5,True,19,2,0.010320901870727539,0.0051604509353637695,0.0105
PDDL,lazy,0.05,26,5,True,15,2,0.008958101272583008,0.004479050636291504,0.0091
PDDL,lazy,0.05,27,5,True,12,1,0.0050241947174072266,0.0050241947174072266,0.0052
PDDL,lazy,0.05,28,5,True,18,2,0.009213924407958984,0.004606962203979492,0.0094
PDDL,lazy,0.05,29,5,True,17,1,0.004545927047729492,0.004545927047729492,0.0047
PDDL,lazy,0.1,0,5,True,15,1,0.004698038101196289,0.004698038101196289,0.0048
PDDL,lazy,0.1,1,5,True,14,3,0.014142036437988281,0.004714012145996094,0.0143
PDDL,lazy,0.1,2,5,True,12,3,0.015358209609985352,0.00511940320332845,0.0155
PDDL,lazy,0.1,3,5,True,14,3,0.019712448120117188,0.0065708160400390625,0.0199
PDDL,lazy,0.1,4,5,True,14,2,0.008819341659545898,0.004409670829772949,0.009
PDDL,lazy,0.1,5,5,True,11,2,0.009895801544189453,0.0049479007720947266,0.0101
PDDL,lazy,0.1,6,5,True,11,2,0.011144876480102539,0.0055724382400512695,0.0113
PDDL,lazy,0.1,7,5,True,16,6,0.03036785125732422,0.00506130854288737,0.0306
PDDL,lazy,0.1,8,5,True,16,2,0.010821819305419922,0.005410909652709961,0.011
PDDL,lazy,0.1,9,5,True,18,4,0.020523548126220703,0.005130887031555176,0.0209
PDDL,lazy,0.1,10,5,True,7,1,0.005304098129272461,0.005304098129272461,0.0054
PDDL,lazy,0.1,11,5,True,19,4,0.020040512084960938,0.005010128021240234,0.0203
PDDL,lazy,0.1,12,5,True,17,2,0.010770082473754883,0.005385041236877441,0.011
PDDL,lazy,0.1,13,5,True,15,1,0.005278825759887695,0.005278825759887695,0.0055
PDDL,lazy,0.1,14,5,True,16,1,0.0052950382232666016,0.0052950382232666016,0.0055
PDDL,lazy,0.1,15,5,True,17,3,0.039298057556152344,0.013099352518717447,0.0396
PDDL,lazy,0.1,16,5,True,16,2,0.010364294052124023,0.005182147026062012,0.0106
PDDL,lazy,0.1,17,5,True,12,2,0.011878728866577148,0.005939364433288574,0.0121
PDDL,lazy,0.1,18,5,True,13,1,0.006025075912475586,0.006025075912475586,0.0062
PDDL,lazy,0.1,19,5,True,8,1,0.00607609748840332,0.00607609748840332,0.0062
PDDL,lazy,0.1,20,5,True,15,1,0.007959842681884766,0.007959842681884766,0.0083
PDDL,lazy,0.1,21,5,True,14,2,0.014103889465332031,0.007051944732666016,0.0144
PDDL,lazy,0.1,22,5,True,14,2,0.015327930450439453,0.0076639652252197266,0.0157
PDDL,lazy,0.1,23,5,True,18,4,0.030141592025756836,0.007535398006439209,0.0306
PDDL,lazy,0.1,24,5,True,13,2,0.02368474006652832,0.01184237003326416,0.0242
PDDL,lazy,0.1,25,5,True,19,2,0.015830039978027344,0.007915019989013672,0.0164
PDDL,lazy,0.1,26,5,True,16,3,0.024439573287963867,0.008146524429321289,0.0251
PDDL,lazy,0.1,27,5,True,13,2,0.019944190979003906,0.009972095489501953,0.0205
PDDL,lazy,0.1,28,5,True,19,3,0.023076772689819336,0.007692257563273112,0.0235
PDDL,lazy,0.1,29,5,True,17,1,0.007941246032714844,0.007941246032714844,0.0083
PDDL,lookahead,0.0,0,5,True,15,1,0.007596015930175781,0.007596015930175781,0.0079
PDDL,lookahead,0.0,1,5,True,12,1,0.007718801498413086,0.007718801498413086,0.008
